vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,exhaustive_configurations
4,0.125,66,1,0.0023298263549804688,5,1
4,0.25,52,2,0.0010149478912353516,15,3
4,0.5,87,1,0.0015063285827636719,42,7
4,0.75,69,1,0.0037903785705566406,265,31
5,0.125,150,2,0.0011050701141357422,15,3
5,0.25,168,2,0.001459360122680664,37,7
5,0.5,25,1,0.00400996208190918,255,31
5,0.75,15,2,0.03188443183898926,3227,255
6,0.125,78,2,0.0009138584136962891,15,3
6,0.25,53,3,0.0018343925476074219,80,15
6,0.5,41,2,0.032143592834472656,3059,255
6,0.75,46,2,0.7468726634979248,76130,4095
7,0.125,129,3,0.0013191699981689453,33,7
7,0.25,69,2,0.006342172622680664,501,63
7,0.5,155,3,0.3320448398590088,32699,2047
7,0.75,24,3,16.367146253585815,1604395,65535
8,0.125,286,4,0.0017092227935791016,67,15
8,0.25,77,2,0.012032508850097656,1074,127
8,0.5,67,3,3.499737024307251,342479,16383
8,0.75,56,3,702.5560970306396,67297824,2097151
