vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations
4,0.125,66,1,0.0008146762847900391,1
4,0.25,52,2,0.001131296157836914,2
4,0.5,168,2,0.0010273456573486328,2
4,0.75,90,2,0.0011658668518066406,2
5,0.125,150,2,0.0009968280792236328,2
5,0.25,168,2,0.0011684894561767578,2
5,0.5,95,2,0.0012288093566894531,2
5,0.75,15,2,0.0012617111206054688,2
6,0.125,78,2,0.0009922981262207031,2
6,0.25,53,3,0.0012629032135009766,3
6,0.5,41,2,0.0013012886047363281,2
6,0.75,46,2,0.0016489028930664062,2
7,0.125,129,3,0.0013232231140136719,3
7,0.25,69,2,0.0012295246124267578,2
7,0.5,207,4,0.002152681350708008,4
7,0.75,32,4,0.0023200511932373047,4
8,0.125,286,4,0.001833200454711914,4
8,0.25,108,4,0.001931905746459961,4
8,0.5,67,3,0.002154827117919922,3
8,0.75,64,4,0.002978086471557617,4
9,0.125,151,4,0.0016949176788330078,4
9,0.25,91,4,0.001979827880859375,4
9,0.5,162,5,0.0032634735107421875,5
9,0.75,70,5,0.003774404525756836,5
10,0.125,123,4,0.0018465518951416016,4
10,0.25,146,5,0.00261688232421875,5
10,0.5,81,5,0.003639698028564453,5
10,0.75,89,6,0.004487276077270508,6
11,0.125,220,6,0.002561330795288086,6
11,0.25,405,7,0.003648042678833008,7
11,0.5,90,5,0.0040280818939208984,5
11,0.75,120,6,0.006203651428222656,6
12,0.125,172,5,0.0026047229766845703,5
12,0.25,281,7,0.0036966800689697266,7
12,0.5,77,6,0.004682302474975586,6
12,0.75,229,8,0.007452726364135742,8
13,0.125,261,7,0.0028679370880126953,7
13,0.25,202,6,0.0031409263610839844,6
13,0.5,237,8,0.00675201416015625,8
13,0.75,118,7,0.007910966873168945,7
14,0.125,313,8,0.0036666393280029297,8
14,0.25,241,9,0.004820823669433594,9
14,0.5,112,8,0.007497310638427734,8
14,0.75,79,9,0.007729053497314453,9
15,0.125,210,8,0.003602743148803711,8
15,0.25,289,9,0.00603795051574707,9
15,0.5,154,9,0.008559942245483398,9
15,0.75,114,8,0.011656761169433594,8
16,0.125,274,8,0.003877878189086914,8
16,0.25,169,7,0.003976106643676758,7
16,0.5,87,9,0.008413076400756836,9
16,0.75,71,10,0.010409355163574219,10
17,0.125,300,9,0.004871845245361328,9
17,0.25,197,9,0.00586700439453125,9
17,0.5,64,7,0.007210731506347656,7
17,0.75,115,10,0.012230873107910156,10
18,0.125,466,11,0.004662990570068359,11
18,0.25,251,9,0.006280660629272461,9
18,0.5,70,10,0.008149385452270508,10
18,0.75,85,10,0.011718511581420898,10
19,0.125,235,8,0.0041446685791015625,8
19,0.25,296,10,0.00745081901550293,10
19,0.5,137,12,0.012443304061889648,12
19,0.75,74,11,0.01624321937561035,11
20,0.125,330,9,0.005213499069213867,9
20,0.25,154,11,0.007161855697631836,11
20,0.5,98,11,0.009388446807861328,11
20,0.75,210,13,0.02039813995361328,13
21,0.125,307,10,0.0045888423919677734,10
21,0.25,193,10,0.008269786834716797,10
21,0.5,164,12,0.020754098892211914,12
21,0.75,238,14,0.026977062225341797,14
22,0.125,353,11,0.006195783615112305,11
22,0.25,178,11,0.009488344192504883,11
22,0.5,133,14,0.019318819046020508,14
22,0.75,48,12,0.02186274528503418,12
23,0.125,271,13,0.006840944290161133,13
23,0.25,364,13,0.012105464935302734,13
23,0.5,286,14,0.02386641502380371,14
23,0.75,177,15,0.03929471969604492,15
24,0.125,243,13,0.00636744499206543,13
24,0.25,263,14,0.013099908828735352,14
24,0.5,203,14,0.015619277954101562,14
24,0.75,248,14,0.044676780700683594,14
25,0.125,444,13,0.010533571243286133,13
25,0.25,495,18,0.01917886734008789,18
25,0.5,211,16,0.02923440933227539,16
25,0.75,156,15,0.04849386215209961,15
26,0.125,358,11,0.00839543342590332,11
26,0.25,177,13,0.014228105545043945,13
26,0.5,219,16,0.03679823875427246,16
26,0.75,172,16,0.048270225524902344,16
27,0.125,307,14,0.008864402770996094,14
27,0.25,312,16,0.015210628509521484,16
27,0.5,180,16,0.02572798728942871,16
27,0.75,72,16,0.04056906700134277,16
28,0.125,212,13,0.008305788040161133,13
28,0.25,367,16,0.018242835998535156,16
28,0.5,341,20,0.048095703125,20
28,0.75,92,18,0.04632973670959473,18
29,0.125,578,15,0.009888887405395508,15
29,0.25,321,15,0.019436120986938477,15
29,0.5,143,17,0.026627540588378906,17
29,0.75,59,18,0.027516603469848633,18
30,0.125,404,17,0.01098775863647461,17
30,0.25,328,20,0.013596773147583008,20
30,0.5,213,18,0.0385432243347168,18
30,0.75,131,20,0.06995463371276855,20
31,0.125,415,15,0.009054422378540039,15
31,0.25,282,19,0.018477678298950195,19
31,0.5,165,20,0.04767775535583496,20
31,0.75,107,19,0.049800872802734375,19
32,0.125,578,18,0.016145944595336914,18
32,0.25,340,20,0.031107664108276367,20
32,0.5,196,21,0.03561806678771973,21
32,0.75,78,19,0.05869174003601074,19
33,0.125,598,18,0.015445709228515625,18
33,0.25,299,19,0.0313878059387207,19
33,0.5,154,21,0.062026023864746094,21
33,0.75,174,21,0.06518149375915527,21
34,0.125,471,19,0.01578497886657715,19
34,0.25,217,18,0.018488645553588867,18
34,0.5,139,21,0.06111550331115723,21
34,0.75,120,19,0.052629947662353516,19
35,0.125,700,22,0.02050495147705078,22
