vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.00018477439880371094,452,100,0.5,0.75,0.125
4,52,2,0.0004012584686279297,904,200,0.5,0.75,0.25
4,168,2,0.0006113052368164062,1294,300,0.5,0.75,0.5
4,90,2,0.0010449886322021484,2207,500,0.5,0.75,0.75
5,150,2,0.0003910064697265625,904,200,0.5,0.75,0.125
5,168,2,0.0005886554718017578,1291,300,0.5,0.75,0.25
5,50,2,0.0010194778442382812,2200,500,0.5,0.75,0.5
5,15,2,0.0018413066864013672,3656,800,0.5,0.75,0.75
6,78,2,0.00039887428283691406,904,200,0.5,0.75,0.125
6,74,2,0.0008020401000976562,1725,400,0.5,0.75,0.25
6,41,2,0.001825094223022461,3595,800,0.5,0.75,0.5
6,46,2,0.0033185482025146484,5694,1200,0.5,0.75,0.75
7,129,3,0.0006699562072753906,1361,300,0.5,0.75,0.125
7,69,2,0.0012536048889160156,2629,600,0.5,0.75,0.25
7,210,3,0.003114461898803711,5176,1100,0.5,0.75,0.5
7,67,3,0.005849361419677734,7808,1600,0.5,0.75,0.75
8,286,4,0.001009225845336914,1839,400,0.5,0.75,0.125
8,77,2,0.0015094280242919922,3072,700,0.5,0.75,0.25
8,124,2,0.004266023635864258,6568,1400,0.5,0.75,0.5
8,100,3,0.009692192077636719,10615,2100,0.5,0.75,0.75
9,156,4,0.001210927963256836,2221,500,0.5,0.75,0.125
9,86,3,0.0027539730072021484,4394,900,0.5,0.75,0.25
9,152,3,0.0073833465576171875,8933,1800,0.5,0.75,0.5
9,126,3,0.023543119430541992,18590,2700,0.5,0.75,0.75
10,227,5,0.0015130043029785156,2789,600,0.5,0.75,0.125
10,139,4,0.004296302795410156,6341,1200,0.5,0.75,0.25
10,158,4,0.016057729721069336,14703,2300,0.5,0.75,0.5
10,52,4,0.037518978118896484,28248,3400,0.5,0.75,0.75
11,172,4,0.0020143985748291016,3473,700,0.5,0.75,0.125
11,272,4,0.008411645889282227,10381,1400,0.5,0.75,0.25
11,174,5,0.030991077423095703,25353,2800,0.5,0.75,0.5
11,150,6,0.05591607093811035,43493,4200,0.5,0.75,0.75
12,212,4,0.003444671630859375,5018,900,0.5,0.75,0.125
12,175,4,0.00980997085571289,11181,1700,0.5,0.75,0.25
12,186,5,0.03653383255004883,25916,3300,0.5,0.75,0.5
12,313,6,0.07001090049743652,53582,5000,0.5,0.75,0.75
13,197,6,0.003705263137817383,5373,1000,0.5,0.75,0.125
13,165,6,0.014177322387695312,11945,2000,0.5,0.75,0.25
13,277,8,0.05809664726257324,48326,3900,0.5,0.75,0.5
13,243,6,0.0846400260925293,66912,5900,0.5,0.75,0.75
14,310,7,0.005027294158935547,6705,1200,0.5,0.75,0.125
14,274,5,0.017976045608520508,14274,2300,0.5,0.75,0.25
14,158,6,0.05884051322937012,42985,4600,0.5,0.75,0.5
14,307,7,0.09593462944030762,66874,6900,0.5,0.75,0.75
15,177,5,0.006728172302246094,8467,1400,0.5,0.75,0.125
15,263,6,0.027498960494995117,20284,2700,0.5,0.75,0.25
15,235,9,0.09044837951660156,76813,5300,0.5,0.75,0.5
15,301,7,0.12927532196044922,98000,7900,0.5,0.75,0.75
16,297,8,0.007794857025146484,8507,1500,0.5,0.75,0.125
16,306,9,0.03551363945007324,27123,3000,0.5,0.75,0.25
16,290,10,0.09764719009399414,71408,6000,0.5,0.75,0.5
16,303,8,0.17295050621032715,150461,9000,0.5,0.75,0.75
17,294,7,0.01078176498413086,10995,1700,0.5,0.75,0.125
17,196,7,0.04265475273132324,30189,3400,0.5,0.75,0.25
17,290,9,0.1243433952331543,102331,6800,0.5,0.75,0.5
17,500,13,0.2065906524658203,185998,10200,0.5,0.75,0.75
18,292,7,0.01827239990234375,13767,2000,0.5,0.75,0.125
18,378,8,0.048757076263427734,33274,3900,0.5,0.75,0.25
18,285,9,0.12981867790222168,96179,7700,0.5,0.75,0.5
18,415,11,0.257108211517334,239143,11500,0.5,0.75,0.75
19,271,10,0.022141695022583008,16552,2200,0.5,0.75,0.125
19,394,10,0.055891990661621094,38921,4300,0.5,0.75,0.25
19,517,13,0.16184735298156738,127551,8600,0.5,0.75,0.5
19,295,10,0.2606968879699707,226978,12900,0.5,0.75,0.75
20,398,9,0.025074005126953125,18718,2400,0.5,0.75,0.125
20,374,12,0.06525468826293945,44331,4800,0.5,0.75,0.25
20,459,12,0.15973520278930664,115203,9500,0.5,0.75,0.5
20,548,13,0.28060078620910645,240425,14300,0.5,0.75,0.75
21,494,13,0.029227256774902344,20088,2700,0.5,0.75,0.125
21,605,13,0.08885622024536133,67573,5300,0.5,0.75,0.25
21,545,16,0.2436656951904297,211198,10500,0.5,0.75,0.5
21,541,16,0.4003582000732422,368554,15800,0.5,0.75,0.75
22,436,12,0.03328537940979004,22669,2900,0.5,0.75,0.125
22,572,13,0.0816042423248291,54198,5800,0.5,0.75,0.25
22,523,12,0.1981372833251953,143156,11600,0.5,0.75,0.5
22,605,17,0.33420515060424805,270208,17400,0.5,0.75,0.75
23,498,13,0.043311119079589844,32023,3200,0.5,0.75,0.125
23,564,16,0.11432933807373047,86855,6400,0.5,0.75,0.25
23,548,15,0.2739224433898926,218310,12700,0.5,0.75,0.5
23,662,17,0.39485669136047363,316802,19000,0.5,0.75,0.75
24,443,11,0.03977346420288086,25559,3500,0.5,0.75,0.125
24,466,13,0.11920714378356934,84664,6900,0.5,0.75,0.25
24,601,15,0.25084710121154785,180371,13800,0.5,0.75,0.5
24,743,16,0.5011246204376221,419000,20700,0.5,0.75,0.75
25,630,14,0.05834627151489258,43811,3800,0.5,0.75,0.125
25,649,14,0.13475775718688965,100460,7500,0.5,0.75,0.25
25,790,21,0.34117555618286133,268179,15000,0.5,0.75,0.5
25,751,18,0.6646885871887207,601047,22500,0.5,0.75,0.75
26,546,13,0.0584564208984375,39965,4100,0.5,0.75,0.125
26,496,16,0.15053939819335938,117168,8200,0.5,0.75,0.25
26,615,16,0.35582828521728516,264354,16300,0.5,0.75,0.5
26,690,19,0.6230416297912598,528688,24400,0.5,0.75,0.75
27,503,15,0.05933094024658203,36512,4400,0.5,0.75,0.125
27,644,15,0.14563822746276855,92699,8800,0.5,0.75,0.25
27,718,18,0.4461245536804199,371189,17600,0.5,0.75,0.5
27,804,21,0.8037130832672119,670141,26400,0.5,0.75,0.75
28,513,16,0.07622933387756348,51139,4800,0.5,0.75,0.125
28,719,17,0.20490336418151855,162494,9500,0.5,0.75,0.25
28,830,20,0.6013669967651367,522334,18900,0.5,0.75,0.5
28,810,21,0.8586585521697998,694624,28400,0.5,0.75,0.75
29,875,15,0.08376908302307129,56048,5100,0.5,0.75,0.125
29,799,18,0.2423725128173828,185481,10200,0.5,0.75,0.25
29,705,19,0.5820491313934326,466713,20300,0.5,0.75,0.5
29,854,19,0.6612567901611328,462900,30500,0.5,0.75,0.75
30,672,19,0.08153033256530762,51196,5500,0.5,0.75,0.125
30,852,24,0.2615480422973633,198960,10900,0.5,0.75,0.25
30,928,19,0.40282702445983887,278262,21800,0.5,0.75,0.5
30,716,21,1.3620755672454834,1164690,32700,0.5,0.75,0.75
