vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.01546025276184082,2,10000,0.25,0.5
4,0.25,52,2,0.018640756607055664,4,10000,0.25,0.5
4,0.5,168,2,0.018253803253173828,15,10000,0.25,0.5
4,0.75,90,2,0.019490957260131836,70,10000,0.25,0.5
5,0.125,150,2,0.018787622451782227,4,10000,0.25,0.5
5,0.25,168,2,0.018544912338256836,14,10000,0.25,0.5
5,0.5,50,2,0.01961827278137207,67,10000,0.25,0.5
5,0.75,15,2,0.021335124969482422,252,10000,0.25,0.5
6,0.125,78,2,0.019115686416625977,4,10000,0.25,0.5
6,0.25,74,2,0.0189816951751709,29,10000,0.25,0.5
6,0.5,41,2,0.023550987243652344,199,10000,0.25,0.5
6,0.75,46,2,0.02547931671142578,643,10000,0.25,0.5
7,0.125,129,3,0.021972179412841797,15,10000,0.25,0.5
7,0.25,69,2,0.01933431625366211,89,10000,0.25,0.5
7,0.5,197,3,0.026653766632080078,627,10000,0.25,0.5
7,0.75,24,3,0.08985257148742676,23909,10000,0.25,0.5
8,0.125,286,4,0.023865699768066406,54,10000,0.25,0.5
8,0.25,77,2,0.020081758499145508,116,10000,0.25,0.5
8,0.5,124,2,0.02828359603881836,707,10000,0.25,0.5
8,0.75,81,3,0.10312056541442871,29636,10000,0.25,0.5
9,0.125,156,4,0.021532773971557617,130,10000,0.25,0.5
9,0.25,87,3,0.024136781692504883,542,10000,0.25,0.5
9,0.5,143,3,0.03757524490356445,2223,10000,0.25,0.5
9,0.75,48,4,0.0984346866607666,27982,10000,0.25,0.5
10,0.125,123,4,0.022368907928466797,280,10000,0.25,0.5
10,0.25,94,3,0.03657126426696777,3659,10000,0.25,0.5
10,0.5,136,3,0.04973864555358887,4234,10000,0.25,0.5
10,0.75,129,4,0.10087227821350098,30025,10000,0.25,0.5
11,0.125,172,4,0.023636341094970703,646,10000,0.25,0.5
11,0.25,272,4,0.0365443229675293,3937,10000,0.25,0.5
11,0.5,153,4,0.1032109260559082,31862,10000,0.25,0.5
11,0.75,161,4,0.1178891658782959,45217,10000,0.25,0.5
12,0.125,212,4,0.02722334861755371,1099,10000,0.25,0.5
12,0.25,175,4,0.08986854553222656,23797,10000,0.25,0.5
12,0.5,153,5,0.10384702682495117,32284,10000,0.25,0.5
12,0.75,263,6,0.15979623794555664,81271,10000,0.25,0.5
13,0.125,191,5,0.034065961837768555,3004,10000,0.25,0.5
13,0.25,128,4,0.08198761940002441,13177,10000,0.25,0.5
13,0.5,278,5,0.11641407012939453,43021,10000,0.25,0.5
13,0.75,208,6,0.1585674285888672,98194,10000,0.25,0.5
14,0.125,240,7,0.09105348587036133,20620,10000,0.25,0.5
14,0.25,189,5,0.10730934143066406,32036,10000,0.25,0.5
14,0.5,176,5,0.13346219062805176,59808,10000,0.25,0.5
14,0.75,159,8,0.1636826992034912,97906,10000,0.25,0.5
15,0.125,62,4,0.0814213752746582,11518,10000,0.25,0.5
15,0.25,222,6,0.1083071231842041,33506,10000,0.25,0.5
15,0.5,284,9,0.15165281295776367,84688,10000,0.25,0.5
15,0.75,193,6,0.1890268325805664,135030,10000,0.25,0.5
16,0.125,222,5,0.0892484188079834,17122,10000,0.25,0.5
16,0.25,242,6,0.11159491539001465,43040,10000,0.25,0.5
16,0.5,298,10,0.14849448204040527,78770,10000,0.25,0.5
16,0.75,353,10,0.16956543922424316,112034,10000,0.25,0.5
17,0.125,226,7,0.10892438888549805,34658,10000,0.25,0.5
17,0.25,290,8,0.11021614074707031,38738,10000,0.25,0.5
17,0.5,202,8,0.15993475914001465,93456,10000,0.25,0.5
17,0.75,454,12,0.1976780891418457,152019,10000,0.25,0.5
18,0.125,316,8,0.11722302436828613,41638,10000,0.25,0.5
18,0.25,363,8,0.12946867942810059,57606,10000,0.25,0.5
18,0.5,343,9,0.15605401992797852,80036,10000,0.25,0.5
18,0.75,526,14,0.18932557106018066,141430,10000,0.25,0.5
19,0.125,176,9,0.11231184005737305,36744,10000,0.25,0.5
19,0.25,327,9,0.13440322875976562,63581,10000,0.25,0.5
19,0.5,447,10,0.16264748573303223,89047,10000,0.25,0.5
19,0.75,414,11,0.19957637786865234,152913,10000,0.25,0.5
20,0.125,356,8,0.12771177291870117,54773,10000,0.25,0.5
20,0.25,329,8,0.1382308006286621,65088,10000,0.25,0.5
20,0.5,461,11,0.20152926445007324,138854,10000,0.25,0.5
20,0.75,573,13,0.2702217102050781,230328,10000,0.25,0.5
21,0.125,307,8,0.10102295875549316,26128,10000,0.25,0.5
21,0.25,508,10,0.15005922317504883,79025,10000,0.25,0.5
21,0.5,521,12,0.2141563892364502,155817,10000,0.25,0.5
21,0.75,612,16,0.2501523494720459,204485,10000,0.25,0.5
22,0.125,457,10,0.10849452018737793,33571,10000,0.25,0.5
22,0.25,480,14,0.16717767715454102,99743,10000,0.25,0.5
22,0.5,519,14,0.18233537673950195,117076,10000,0.25,0.5
22,0.75,628,16,0.25664782524108887,211070,10000,0.25,0.5
23,0.125,377,10,0.12919211387634277,63315,10000,0.25,0.5
23,0.25,527,12,0.16631603240966797,94878,10000,0.25,0.5
23,0.5,486,14,0.16603374481201172,99489,10000,0.25,0.5
23,0.75,664,17,0.2375931739807129,189553,10000,0.25,0.5
24,0.125,392,11,0.12323117256164551,55666,10000,0.25,0.5
24,0.25,440,12,0.15563750267028809,83274,10000,0.25,0.5
24,0.5,784,16,0.19490504264831543,131314,10000,0.25,0.5
24,0.75,799,20,0.21283984184265137,159892,10000,0.25,0.5
25,0.125,459,9,0.12610912322998047,58409,10000,0.25,0.5
25,0.25,642,14,0.17644834518432617,113738,10000,0.25,0.5
25,0.5,835,18,0.21150803565979004,150231,10000,0.25,0.5
25,0.75,763,24,0.3282432556152344,291085,10000,0.25,0.5
26,0.125,510,13,0.15543770790100098,85325,10000,0.25,0.5
