vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.01497960090637207,2,10000,0.125,0.25
4,0.25,52,2,0.018819570541381836,4,10000,0.125,0.25
4,0.5,168,2,0.01882481575012207,15,10000,0.125,0.25
4,0.75,90,2,0.019488096237182617,70,10000,0.125,0.25
5,0.125,150,2,0.018299579620361328,4,10000,0.125,0.25
5,0.25,168,2,0.01820850372314453,14,10000,0.125,0.25
5,0.5,50,2,0.01954507827758789,67,10000,0.125,0.25
5,0.75,15,2,0.02119612693786621,252,10000,0.125,0.25
6,0.125,78,2,0.018779754638671875,4,10000,0.125,0.25
6,0.25,74,2,0.018944740295410156,29,10000,0.125,0.25
6,0.5,41,2,0.021259069442749023,199,10000,0.125,0.25
6,0.75,46,2,0.025004863739013672,643,10000,0.125,0.25
7,0.125,129,3,0.022521495819091797,15,10000,0.125,0.25
7,0.25,69,2,0.019700050354003906,89,10000,0.125,0.25
7,0.5,186,3,0.02495431900024414,480,10000,0.125,0.25
7,0.75,69,3,0.03261709213256836,1025,10000,0.125,0.25
8,0.125,286,4,0.025063514709472656,54,10000,0.125,0.25
8,0.25,77,2,0.020209550857543945,116,10000,0.125,0.25
8,0.5,124,2,0.028119802474975586,707,10000,0.125,0.25
8,0.75,100,3,0.042720794677734375,1975,10000,0.125,0.25
9,0.125,156,4,0.020548582077026367,117,10000,0.125,0.25
9,0.25,134,3,0.023198843002319336,242,10000,0.125,0.25
9,0.5,92,3,0.09569931030273438,16121,10000,0.125,0.25
9,0.75,44,3,0.09621667861938477,21071,10000,0.125,0.25
10,0.125,123,4,0.021292924880981445,334,10000,0.125,0.25
10,0.25,94,3,0.02894735336303711,2552,10000,0.125,0.25
10,0.5,81,5,0.09495949745178223,17038,10000,0.125,0.25
10,0.75,137,3,0.0928809642791748,25996,10000,0.125,0.25
11,0.125,172,4,0.021982908248901367,605,10000,0.125,0.25
11,0.25,258,4,0.09028482437133789,8396,10000,0.125,0.25
11,0.5,209,5,0.09331798553466797,20088,10000,0.125,0.25
11,0.75,188,6,0.1148672103881836,44982,10000,0.125,0.25
12,0.125,172,5,0.02863168716430664,3100,10000,0.125,0.25
12,0.25,208,4,0.08545470237731934,9028,10000,0.125,0.25
12,0.5,160,6,0.0973365306854248,30736,10000,0.125,0.25
12,0.75,248,5,0.1286764144897461,53972,10000,0.125,0.25
13,0.125,252,5,0.028769254684448242,2683,10000,0.125,0.25
13,0.25,122,4,0.08103752136230469,10179,10000,0.125,0.25
13,0.5,291,6,0.10471534729003906,32980,10000,0.125,0.25
13,0.75,295,6,0.14028453826904297,71181,10000,0.125,0.25
14,0.125,250,6,0.07222342491149902,7947,10000,0.125,0.25
14,0.25,149,6,0.09740138053894043,15194,10000,0.125,0.25
14,0.5,202,8,0.13122224807739258,68514,10000,0.125,0.25
14,0.75,215,9,0.13667869567871094,66205,10000,0.125,0.25
