vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.011450529098510742,3,10000,0.25,0.5
4,0.25,52,2,0.018764495849609375,6,10000,0.25,0.5
4,0.5,168,2,0.01875901222229004,21,10000,0.25,0.5
4,0.75,90,2,0.018291473388671875,90,10000,0.25,0.5
5,0.125,150,2,0.018917083740234375,6,10000,0.25,0.5
5,0.25,168,2,0.01966238021850586,18,10000,0.25,0.5
5,0.5,50,2,0.018816232681274414,83,10000,0.25,0.5
5,0.75,15,2,0.018087387084960938,282,10000,0.25,0.5
6,0.125,78,2,0.018053531646728516,6,10000,0.25,0.5
6,0.25,74,2,0.01810765266418457,31,10000,0.25,0.5
6,0.5,41,2,0.018454551696777344,221,10000,0.25,0.5
6,0.75,46,2,0.018635988235473633,657,10000,0.25,0.5
7,0.125,129,3,0.018734216690063477,15,10000,0.25,0.5
7,0.25,69,2,0.01854228973388672,93,10000,0.25,0.5
7,0.5,738,11,0.018474102020263672,436,10000,0.25,0.5
7,0.75,24,3,0.024712800979614258,7591,10000,0.25,0.5
8,0.125,286,4,0.018312931060791016,28,10000,0.25,0.5
8,0.25,77,2,0.018328189849853516,118,10000,0.25,0.5
8,0.5,124,2,0.018566370010375977,709,10000,0.25,0.5
8,0.75,64,4,0.06589579582214355,88929,10000,0.25,0.5
9,0.125,201,5,0.018209218978881836,45,10000,0.25,0.5
9,0.25,423,9,0.018674135208129883,180,10000,0.25,0.5
9,0.5,92,3,0.02612900733947754,8733,10000,0.25,0.5
9,0.75,45,5,0.12017488479614258,208927,10000,0.25,0.5
10,0.125,255,6,0.018460988998413086,69,10000,0.25,0.5
10,0.25,607,12,0.018014907836914062,380,10000,0.25,0.5
10,0.5,51,4,0.1318047046661377,96121,10000,0.25,0.5
10,0.75,127,6,0.1573793888092041,283883,10000,0.25,0.5
11,0.125,269,7,0.01750493049621582,116,10000,0.25,0.5
11,0.25,915,14,0.017273902893066406,622,10000,0.25,0.5
11,0.5,95,5,0.11184430122375488,194714,10000,0.25,0.5
11,0.75,184,8,0.22014617919921875,403347,10000,0.25,0.5
12,0.125,413,9,0.018438100814819336,167,10000,0.25,0.5
12,0.25,882,17,0.024204492568969727,6623,10000,0.25,0.5
12,0.5,110,6,0.11514711380004883,189568,10000,0.25,0.5
12,0.75,371,10,0.29044127464294434,529749,10000,0.25,0.5
13,0.125,534,10,0.018072843551635742,216,10000,0.25,0.5
13,0.25,64,4,0.03832745552062988,37319,10000,0.25,0.5
13,0.5,174,7,0.1531205177307129,244161,10000,0.25,0.5
13,0.75,301,11,0.353438138961792,612875,10000,0.25,0.5
14,0.125,595,12,0.01780867576599121,316,10000,0.25,0.5
14,0.25,1041,23,0.04774618148803711,56615,10000,0.25,0.5
14,0.5,162,9,0.2239835262298584,375075,10000,0.25,0.5
14,0.75,280,13,0.40898990631103516,705093,10000,0.25,0.5
15,0.125,547,14,0.01788806915283203,568,10000,0.25,0.5
15,0.25,197,5,0.08065009117126465,126965,10000,0.25,0.5
15,0.5,234,10,0.2618081569671631,428418,10000,0.25,0.5
15,0.75,430,15,0.5325698852539062,869125,10000,0.25,0.5
16,0.125,672,15,0.021869182586669922,2560,10000,0.25,0.5
