vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.020734071731567383,3,10000,0.25,0.5
4,0.25,52,2,0.02499532699584961,13,10000,0.25,0.5
4,0.5,87,1,0.019324779510498047,13,10000,0.25,0.5
4,0.75,69,1,0.019920825958251953,55,10000,0.25,0.5
5,0.125,150,2,0.0217592716217041,13,10000,0.25,0.5
5,0.25,168,2,0.019721269607543945,30,10000,0.25,0.5
5,0.5,25,1,0.021407127380371094,34,10000,0.25,0.5
5,0.75,74,2,0.02034282684326172,77,10000,0.25,0.5
6,0.125,78,2,0.021992921829223633,13,10000,0.25,0.5
6,0.25,74,2,0.020362138748168945,31,10000,0.25,0.5
6,0.5,178,2,0.020114421844482422,50,10000,0.25,0.5
6,0.75,189,4,0.019875526428222656,118,10000,0.25,0.5
7,0.125,129,3,0.022588253021240234,34,10000,0.25,0.5
7,0.25,69,2,0.02016282081604004,67,10000,0.25,0.5
7,0.5,219,3,0.019527196884155273,137,10000,0.25,0.5
7,0.75,107,5,0.020914316177368164,216,10000,0.25,0.5
8,0.125,286,4,0.024696826934814453,79,10000,0.25,0.5
8,0.25,210,5,0.019480466842651367,94,10000,0.25,0.5
8,0.5,153,4,0.019778966903686523,145,10000,0.25,0.5
8,0.75,273,6,0.020675182342529297,179,10000,0.25,0.5
9,0.125,156,4,0.020025014877319336,50,10000,0.25,0.5
9,0.25,253,5,0.020202159881591797,99,10000,0.25,0.5
9,0.5,130,5,0.019933700561523438,161,10000,0.25,0.5
9,0.75,164,5,0.019738435745239258,299,10000,0.25,0.5
10,0.125,123,4,0.019173383712768555,157,10000,0.25,0.5
10,0.25,247,5,0.0195925235748291,91,10000,0.25,0.5
10,0.5,329,9,0.019900083541870117,320,10000,0.25,0.5
10,0.75,279,6,0.019824743270874023,414,10000,0.25,0.5
11,0.125,193,5,0.019434690475463867,217,10000,0.25,0.5
11,0.25,685,11,0.019730567932128906,264,10000,0.25,0.5
11,0.5,179,5,0.019529342651367188,451,10000,0.25,0.5
11,0.75,463,10,0.02017068862915039,471,10000,0.25,0.5
12,0.125,247,6,0.01992630958557129,83,10000,0.25,0.5
12,0.25,320,6,0.0213315486907959,305,10000,0.25,0.5
12,0.5,370,7,0.020517349243164062,401,10000,0.25,0.5
12,0.75,434,6,0.01975727081298828,741,10000,0.25,0.5
13,0.125,364,8,0.020178556442260742,206,10000,0.25,0.5
13,0.25,439,10,0.020151376724243164,248,10000,0.25,0.5
13,0.5,604,11,0.02148604393005371,439,10000,0.25,0.5
13,0.75,510,10,0.020088911056518555,1369,10000,0.25,0.5
14,0.125,432,8,0.019902944564819336,336,10000,0.25,0.5
14,0.25,299,8,0.01947808265686035,255,10000,0.25,0.5
14,0.5,654,14,0.01981067657470703,672,10000,0.25,0.5
14,0.75,643,14,0.02173161506652832,1108,10000,0.25,0.5
15,0.125,250,8,0.019570112228393555,267,10000,0.25,0.5
15,0.25,493,9,0.0198214054107666,315,10000,0.25,0.5
