vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.00035691261291503906,103,100,0.25,0.5,0.125
4,52,2,0.0004642009735107422,212,200,0.25,0.5,0.25
4,87,1,0.0005996227264404297,321,300,0.25,0.5,0.5
4,69,1,0.001018524169921875,554,500,0.25,0.5,0.75
5,150,2,0.0004642009735107422,212,200,0.25,0.5,0.125
5,171,2,0.0006124973297119141,317,300,0.25,0.5,0.25
5,25,1,0.0010297298431396484,552,500,0.25,0.5,0.5
5,117,2,0.0016655921936035156,870,800,0.25,0.5,0.75
6,78,2,0.0004496574401855469,212,200,0.25,0.5,0.125
6,74,2,0.0008158683776855469,421,400,0.25,0.5,0.25
6,165,2,0.0016798973083496094,848,800,0.25,0.5,0.5
6,271,6,0.0024929046630859375,1348,1200,0.25,0.5,0.75
7,129,3,0.0007317066192626953,329,300,0.25,0.5,0.125
7,261,4,0.0012230873107910156,641,600,0.25,0.5,0.25
7,249,4,0.0022640228271484375,1228,1100,0.25,0.5,0.5
7,79,4,0.0033500194549560547,1728,1600,0.25,0.5,0.75
8,286,4,0.001050710678100586,462,400,0.25,0.5,0.125
8,240,6,0.0014438629150390625,767,700,0.25,0.5,0.25
8,217,4,0.0028619766235351562,1518,1400,0.25,0.5,0.5
8,181,4,0.004414081573486328,2267,2100,0.25,0.5,0.75
9,151,4,0.0010793209075927734,562,500,0.25,0.5,0.125
9,246,6,0.0018973350524902344,1000,900,0.25,0.5,0.25
9,119,5,0.003763914108276367,1917,1800,0.25,0.5,0.5
9,247,5,0.005651235580444336,2927,2700,0.25,0.5,0.75
10,227,5,0.0012483596801757812,655,600,0.25,0.5,0.125
10,230,6,0.002456188201904297,1283,1200,0.25,0.5,0.25
10,230,7,0.004784345626831055,2572,2300,0.25,0.5,0.5
10,370,6,0.0069425106048583984,3797,3400,0.25,0.5,0.75
11,248,6,0.0014367103576660156,766,700,0.25,0.5,0.125
11,374,5,0.0028252601623535156,1537,1400,0.25,0.5,0.25
11,350,6,0.005597114562988281,3073,2800,0.25,0.5,0.5
11,398,10,0.008449316024780273,4584,4200,0.25,0.5,0.75
12,411,8,0.001874685287475586,1012,900,0.25,0.5,0.125
12,322,6,0.0034952163696289062,1865,1700,0.25,0.5,0.25
12,252,8,0.006593465805053711,3572,3300,0.25,0.5,0.5
12,461,8,0.010020017623901367,5560,5000,0.25,0.5,0.75
13,437,9,0.002060413360595703,1114,1000,0.25,0.5,0.125
13,492,10,0.004051685333251953,2216,2000,0.25,0.5,0.25
13,270,8,0.00812220573425293,4231,3900,0.25,0.5,0.5
13,488,12,0.012305259704589844,6791,5900,0.25,0.5,0.75
14,586,11,0.0024955272674560547,1352,1200,0.25,0.5,0.125
14,528,13,0.004852294921875,2594,2300,0.25,0.5,0.25
14,556,12,0.009705305099487305,5219,4600,0.25,0.5,0.5
14,544,9,0.014304876327514648,7475,6900,0.25,0.5,0.75
15,334,7,0.002923727035522461,1642,1400,0.25,0.5,0.125
15,453,8,0.005470991134643555,2987,2700,0.25,0.5,0.25
15,549,12,0.01094198226928711,6132,5300,0.25,0.5,0.5
15,823,15,0.01643061637878418,8997,7900,0.25,0.5,0.75
16,358,9,0.0030930042266845703,1659,1500,0.25,0.5,0.125
16,811,14,0.006139993667602539,3268,3000,0.25,0.5,0.25
16,580,11,0.012076616287231445,6468,6000,0.25,0.5,0.5
16,558,13,0.01824164390563965,10226,9000,0.25,0.5,0.75
17,469,12,0.0035059452056884766,1926,1700,0.25,0.5,0.125
17,608,12,0.006934165954589844,3665,3400,0.25,0.5,0.25
17,294,11,0.01393890380859375,7677,6800,0.25,0.5,0.5
17,791,15,0.0207369327545166,11902,10200,0.25,0.5,0.75
18,736,12,0.004063844680786133,2178,2000,0.25,0.5,0.125
18,856,14,0.007931709289550781,4244,3900,0.25,0.5,0.25
18,515,14,0.01619744300842285,8639,7700,0.25,0.5,0.5
18,803,18,0.023461341857910156,13282,11500,0.25,0.5,0.75
19,517,14,0.004552364349365234,2541,2200,0.25,0.5,0.125
19,722,14,0.008653640747070312,4720,4300,0.25,0.5,0.25
19,571,13,0.017552852630615234,9604,8600,0.25,0.5,0.5
19,825,15,0.026912689208984375,15377,12900,0.25,0.5,0.75
20,916,14,0.0048673152923583984,2701,2400,0.25,0.5,0.125
20,557,14,0.009561777114868164,5156,4800,0.25,0.5,0.25
20,734,16,0.01894092559814453,10539,9500,0.25,0.5,0.5
20,636,18,0.029939889907836914,17594,14300,0.25,0.5,0.75
21,695,14,0.005505800247192383,3090,2700,0.25,0.5,0.125
21,902,18,0.010706663131713867,6022,5300,0.25,0.5,0.25
21,980,20,0.021181344985961914,11894,10500,0.25,0.5,0.5
