vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.0202178955078125,10003,10000,0.125,0.25
4,0.25,52,2,0.022061586380004883,10012,10000,0.125,0.25
4,0.5,87,1,0.0199434757232666,10021,10000,0.125,0.25
4,0.75,69,1,0.020484447479248047,10046,10000,0.125,0.25
5,0.125,150,2,0.022664308547973633,10012,10000,0.125,0.25
5,0.25,171,2,0.020525693893432617,10017,10000,0.125,0.25
5,0.5,25,1,0.020095348358154297,10035,10000,0.125,0.25
5,0.75,61,2,0.02073836326599121,10064,10000,0.125,0.25
6,0.125,78,2,0.021950483322143555,10012,10000,0.125,0.25
6,0.25,88,3,0.020865440368652344,10027,10000,0.125,0.25
6,0.5,91,2,0.02074432373046875,10041,10000,0.125,0.25
6,0.75,245,3,0.020409345626831055,10113,10000,0.125,0.25
7,0.125,129,3,0.023433208465576172,10029,10000,0.125,0.25
7,0.25,309,5,0.019776105880737305,10042,10000,0.125,0.25
7,0.5,395,5,0.02059197425842285,10104,10000,0.125,0.25
7,0.75,84,3,0.021024227142333984,10120,10000,0.125,0.25
8,0.125,286,4,0.02545952796936035,10062,10000,0.125,0.25
8,0.25,211,5,0.019900083541870117,10049,10000,0.125,0.25
8,0.5,340,5,0.021277189254760742,10106,10000,0.125,0.25
8,0.75,269,4,0.02147841453552246,10147,10000,0.125,0.25
9,0.125,151,4,0.02093505859375,10057,10000,0.125,0.25
9,0.25,97,4,0.0206911563873291,10059,10000,0.125,0.25
9,0.5,177,3,0.020346403121948242,10133,10000,0.125,0.25
9,0.75,354,7,0.020372629165649414,10205,10000,0.125,0.25
10,0.125,227,5,0.020395755767822266,10077,10000,0.125,0.25
10,0.25,223,5,0.02045893669128418,10096,10000,0.125,0.25
10,0.5,311,8,0.020326614379882812,10172,10000,0.125,0.25
10,0.75,298,6,0.02095794677734375,10270,10000,0.125,0.25
11,0.125,221,5,0.02014446258544922,10109,10000,0.125,0.25
11,0.25,599,9,0.020328998565673828,10179,10000,0.125,0.25
11,0.5,471,7,0.020143747329711914,10327,10000,0.125,0.25
11,0.75,433,8,0.020239591598510742,10314,10000,0.125,0.25
12,0.125,205,6,0.020508527755737305,10175,10000,0.125,0.25
12,0.25,431,8,0.02058887481689453,10168,10000,0.125,0.25
12,0.5,495,8,0.02099466323852539,10257,10000,0.125,0.25
12,0.75,628,10,0.020306110382080078,10486,10000,0.125,0.25
13,0.125,385,8,0.020140886306762695,10097,10000,0.125,0.25
13,0.25,261,5,0.020234107971191406,10116,10000,0.125,0.25
13,0.5,551,9,0.02063584327697754,10317,10000,0.125,0.25
13,0.75,543,9,0.020419597625732422,10737,10000,0.125,0.25
14,0.125,452,10,0.020342350006103516,10139,10000,0.125,0.25
14,0.25,286,8,0.019947290420532227,10167,10000,0.125,0.25
14,0.5,287,9,0.020222902297973633,10511,10000,0.125,0.25
14,0.75,508,11,0.02055978775024414,10685,10000,0.125,0.25
15,0.125,288,8,0.019958972930908203,10148,10000,0.125,0.25
15,0.25,527,9,0.020124435424804688,10193,10000,0.125,0.25
15,0.5,916,17,0.020211458206176758,10645,10000,0.125,0.25
15,0.75,973,15,0.020575284957885742,10713,10000,0.125,0.25
16,0.125,374,9,0.020203828811645508,10125,10000,0.125,0.25
16,0.25,467,10,0.01984691619873047,10242,10000,0.125,0.25
16,0.5,347,9,0.02036285400390625,10540,10000,0.125,0.25
16,0.75,891,18,0.02172374725341797,11111,10000,0.125,0.25
17,0.125,415,11,0.020745038986206055,10256,10000,0.125,0.25
17,0.25,439,11,0.02042078971862793,10268,10000,0.125,0.25
17,0.5,668,14,0.020888328552246094,10745,10000,0.125,0.25
17,0.75,609,13,0.020838260650634766,11175,10000,0.125,0.25
18,0.125,496,8,0.02055644989013672,10261,10000,0.125,0.25
18,0.25,554,10,0.020514726638793945,10436,10000,0.125,0.25
18,0.5,644,13,0.02088022232055664,11010,10000,0.125,0.25
18,0.75,933,20,0.020740270614624023,11615,10000,0.125,0.25
19,0.125,414,9,0.020640850067138672,10384,10000,0.125,0.25
19,0.25,911,17,0.0204617977142334,10518,10000,0.125,0.25
19,0.5,620,13,0.020461320877075195,10806,10000,0.125,0.25
19,0.75,718,16,0.022226572036743164,12788,10000,0.125,0.25
20,0.125,626,11,0.02005481719970703,10255,10000,0.125,0.25
20,0.25,552,14,0.02014923095703125,10448,10000,0.125,0.25
20,0.5,602,17,0.020701885223388672,10992,10000,0.125,0.25
20,0.75,902,17,0.021239519119262695,11530,10000,0.125,0.25
21,0.125,660,17,0.020221710205078125,10359,10000,0.125,0.25
21,0.25,841,16,0.020140886306762695,10479,10000,0.125,0.25
21,0.5,822,15,0.021152973175048828,11684,10000,0.125,0.25
21,0.75,1023,20,0.021666526794433594,12105,10000,0.125,0.25
22,0.125,599,12,0.020255565643310547,10482,10000,0.125,0.25
22,0.25,911,19,0.020234107971191406,10537,10000,0.125,0.25
22,0.5,1393,28,0.020848989486694336,11307,10000,0.125,0.25
22,0.75,1158,21,0.022084474563598633,12945,10000,0.125,0.25
23,0.125,854,17,0.020394086837768555,10397,10000,0.125,0.25
23,0.25,1209,21,0.020865440368652344,10746,10000,0.125,0.25
23,0.5,789,16,0.020641565322875977,11042,10000,0.125,0.25
23,0.75,1109,24,0.021941184997558594,12143,10000,0.125,0.25
24,0.125,582,12,0.02051687240600586,10297,10000,0.125,0.25
24,0.25,1519,29,0.02119159698486328,11016,10000,0.125,0.25
24,0.5,1765,28,0.02240300178527832,12338,10000,0.125,0.25
24,0.75,1082,25,0.0225527286529541,13120,10000,0.125,0.25
25,0.125,1337,22,0.020593881607055664,10602,10000,0.125,0.25
25,0.25,778,16,0.021078824996948242,11185,10000,0.125,0.25
25,0.5,1539,27,0.02173447608947754,11707,10000,0.125,0.25
25,0.75,1398,28,0.02191615104675293,12737,10000,0.125,0.25
26,0.125,1051,19,0.020633935928344727,10811,10000,0.125,0.25
26,0.25,1467,25,0.020902395248413086,11097,10000,0.125,0.25
26,0.5,1261,22,0.02128148078918457,11350,10000,0.125,0.25
26,0.75,1068,22,0.023679494857788086,14731,10000,0.125,0.25
27,0.125,795,17,0.020758867263793945,10664,10000,0.125,0.25
27,0.25,1703,31,0.020977497100830078,11038,10000,0.125,0.25
27,0.5,999,22,0.021465778350830078,11875,10000,0.125,0.25
27,0.75,1355,32,0.024951696395874023,15174,10000,0.125,0.25
28,0.125,1061,27,0.020843505859375,10822,10000,0.125,0.25
28,0.25,1687,32,0.022153615951538086,12107,10000,0.125,0.25
28,0.5,1132,23,0.02191019058227539,11896,10000,0.125,0.25
28,0.75,1798,31,0.023280620574951172,13586,10000,0.125,0.25
29,0.125,1576,22,0.02042078971862793,10487,10000,0.125,0.25
29,0.25,1055,20,0.020496129989624023,10661,10000,0.125,0.25
29,0.5,1231,33,0.023763179779052734,13815,10000,0.125,0.25
29,0.75,1759,33,0.02206134796142578,12261,10000,0.125,0.25
30,0.125,852,20,0.020060062408447266,10451,10000,0.125,0.25
30,0.25,965,21,0.020719528198242188,10987,10000,0.125,0.25
30,0.5,1875,37,0.02279376983642578,13308,10000,0.125,0.25
30,0.75,1272,29,0.023494243621826172,13661,10000,0.125,0.25
4,0.125,66,1,0.020388364791870117,10003,10000,0.5,0.75
4,0.25,52,2,0.021728038787841797,10012,10000,0.5,0.75
4,0.5,87,1,0.02107834815979004,10020,10000,0.5,0.75
4,0.75,69,1,0.020262479782104492,10054,10000,0.5,0.75
5,0.125,150,2,0.022104263305664062,10012,10000,0.5,0.75
5,0.25,168,2,0.020334959030151367,10027,10000,0.5,0.75
5,0.5,25,1,0.01985955238342285,10036,10000,0.5,0.75
5,0.75,61,2,0.020714282989501953,10070,10000,0.5,0.75
6,0.125,78,2,0.022060394287109375,10012,10000,0.5,0.75
6,0.25,74,2,0.020079374313354492,10029,10000,0.5,0.75
6,0.5,178,2,0.020730972290039062,10044,10000,0.5,0.75
6,0.75,225,5,0.02049398422241211,10138,10000,0.5,0.75
7,0.125,129,3,0.02337789535522461,10029,10000,0.5,0.75
7,0.25,200,3,0.02028036117553711,10037,10000,0.5,0.75
7,0.5,225,3,0.021077871322631836,10115,10000,0.5,0.75
7,0.75,115,3,0.020874977111816406,10127,10000,0.5,0.75
8,0.125,286,4,0.025790691375732422,10062,10000,0.5,0.75
8,0.25,193,4,0.020496845245361328,10071,10000,0.5,0.75
8,0.5,174,4,0.020850419998168945,10130,10000,0.5,0.75
8,0.75,309,7,0.020933866500854492,10255,10000,0.5,0.75
9,0.125,156,4,0.021082162857055664,10079,10000,0.5,0.75
9,0.25,185,4,0.02001023292541504,10066,10000,0.5,0.75
9,0.5,155,3,0.020770549774169922,10142,10000,0.5,0.75
9,0.75,438,9,0.020010948181152344,10273,10000,0.5,0.75
10,0.125,156,5,0.019812822341918945,10053,10000,0.5,0.75
10,0.25,283,5,0.019945383071899414,10097,10000,0.5,0.75
10,0.5,264,4,0.01997065544128418,10291,10000,0.5,0.75
10,0.75,455,8,0.020078659057617188,10418,10000,0.5,0.75
11,0.125,193,5,0.01999378204345703,10148,10000,0.5,0.75
11,0.25,426,6,0.02000284194946289,10219,10000,0.5,0.75
11,0.5,448,7,0.020487546920776367,10548,10000,0.5,0.75
11,0.75,496,9,0.020270347595214844,10375,10000,0.5,0.75
12,0.125,361,8,0.02055811882019043,10138,10000,0.5,0.75
12,0.25,553,11,0.020502328872680664,10298,10000,0.5,0.75
12,0.5,497,11,0.02114129066467285,10332,10000,0.5,0.75
12,0.75,405,7,0.020430326461791992,10511,10000,0.5,0.75
13,0.125,448,8,0.019628286361694336,10117,10000,0.5,0.75
13,0.25,295,6,0.020329713821411133,10185,10000,0.5,0.75
13,0.5,501,9,0.019959688186645508,10295,10000,0.5,0.75
13,0.75,572,12,0.02016282081604004,11243,10000,0.5,0.75
14,0.125,351,8,0.019652366638183594,10105,10000,0.5,0.75
14,0.25,643,14,0.019780635833740234,10288,10000,0.5,0.75
14,0.5,727,12,0.020191431045532227,10530,10000,0.5,0.75
14,0.75,376,10,0.02029871940612793,10724,10000,0.5,0.75
15,0.125,396,9,0.019745826721191406,10139,10000,0.5,0.75
15,0.25,379,7,0.02009415626525879,10398,10000,0.5,0.75
15,0.5,614,12,0.02012348175048828,10614,10000,0.5,0.75
15,0.75,733,14,0.020455360412597656,11090,10000,0.5,0.75
16,0.125,550,11,0.019374847412109375,10157,10000,0.5,0.75
16,0.25,574,12,0.01944732666015625,10256,10000,0.5,0.75
16,0.5,417,9,0.020020484924316406,10640,10000,0.5,0.75
16,0.75,677,16,0.019966840744018555,11229,10000,0.5,0.75
17,0.125,504,11,0.01964282989501953,10198,10000,0.5,0.75
17,0.25,464,10,0.0196993350982666,10286,10000,0.5,0.75
17,0.5,599,14,0.020160913467407227,10793,10000,0.5,0.75
17,0.75,564,10,0.020753860473632812,11862,10000,0.5,0.75
18,0.125,546,9,0.01988983154296875,10188,10000,0.5,0.75
18,0.25,648,15,0.020412683486938477,10529,10000,0.5,0.75
18,0.5,601,13,0.02070164680480957,10813,10000,0.5,0.75
18,0.75,728,14,0.020304203033447266,11627,10000,0.5,0.75
19,0.125,576,15,0.019970178604125977,10349,10000,0.5,0.75
19,0.25,629,12,0.019899368286132812,10629,10000,0.5,0.75
19,0.5,928,16,0.020416975021362305,10734,10000,0.5,0.75
19,0.75,899,18,0.021364212036132812,12115,10000,0.5,0.75
20,0.125,606,11,0.01970696449279785,10274,10000,0.5,0.75
20,0.25,469,14,0.019795656204223633,10426,10000,0.5,0.75
20,0.5,1128,22,0.02025127410888672,11284,10000,0.5,0.75
20,0.75,558,15,0.021915435791015625,13120,10000,0.5,0.75
21,0.125,604,14,0.019533157348632812,10261,10000,0.5,0.75
21,0.25,892,16,0.019856929779052734,10480,10000,0.5,0.75
21,0.5,937,18,0.020101308822631836,11211,10000,0.5,0.75
21,0.75,855,19,0.022455215454101562,13950,10000,0.5,0.75
22,0.125,710,14,0.019797325134277344,10376,10000,0.5,0.75
22,0.25,853,19,0.019775390625,10787,10000,0.5,0.75
22,0.5,774,18,0.02097630500793457,11412,10000,0.5,0.75
22,0.75,1007,20,0.02203083038330078,13326,10000,0.5,0.75
23,0.125,692,17,0.020369291305541992,10561,10000,0.5,0.75
23,0.25,1279,21,0.020659923553466797,10856,10000,0.5,0.75
23,0.5,1206,22,0.020632266998291016,11438,10000,0.5,0.75
23,0.75,795,19,0.022583484649658203,13671,10000,0.5,0.75
24,0.125,868,17,0.020273923873901367,10451,10000,0.5,0.75
24,0.25,820,16,0.01998734474182129,10543,10000,0.5,0.75
24,0.5,1244,23,0.021338701248168945,12063,10000,0.5,0.75
24,0.75,908,19,0.022372722625732422,13775,10000,0.5,0.75
25,0.125,988,17,0.019847631454467773,10439,10000,0.5,0.75
25,0.25,1015,20,0.020247697830200195,11066,10000,0.5,0.75
25,0.5,934,18,0.020961284637451172,11852,10000,0.5,0.75
25,0.75,1230,24,0.023302555084228516,15236,10000,0.5,0.75
26,0.125,941,18,0.02009105682373047,10636,10000,0.5,0.75
26,0.25,981,21,0.021066904067993164,11546,10000,0.5,0.75
26,0.5,1376,26,0.021892547607421875,12426,10000,0.5,0.75
26,0.75,1296,28,0.024625301361083984,16734,10000,0.5,0.75
27,0.125,775,17,0.02086925506591797,10882,10000,0.5,0.75
27,0.25,1328,28,0.021097183227539062,11512,10000,0.5,0.75
27,0.5,1231,23,0.02209186553955078,13155,10000,0.5,0.75
27,0.75,1267,21,0.02575850486755371,16828,10000,0.5,0.75
28,0.125,978,21,0.020160436630249023,10602,10000,0.5,0.75
28,0.25,1189,21,0.020689964294433594,11594,10000,0.5,0.75
28,0.5,1215,23,0.02220940589904785,13296,10000,0.5,0.75
28,0.75,1244,31,0.024736881256103516,15687,10000,0.5,0.75
29,0.125,1289,21,0.020407676696777344,10719,10000,0.5,0.75
29,0.25,1523,31,0.021049976348876953,11322,10000,0.5,0.75
29,0.5,1388,30,0.02206110954284668,12896,10000,0.5,0.75
29,0.75,1356,28,0.02544426918029785,15796,10000,0.5,0.75
30,0.125,1313,28,0.020313501358032227,10785,10000,0.5,0.75
30,0.25,922,25,0.021155834197998047,11666,10000,0.5,0.75
30,0.5,1291,27,0.02274799346923828,13551,10000,0.5,0.75
30,0.75,1424,32,0.02612781524658203,16384,10000,0.5,0.75
4,0.125,66,1,0.020124435424804688,10003,10000,0.25,0.5
4,0.25,52,2,0.021731853485107422,10012,10000,0.25,0.5
4,0.5,87,1,0.02013421058654785,10028,10000,0.25,0.5
4,0.75,69,1,0.020122528076171875,10038,10000,0.25,0.5
5,0.125,150,2,0.021857261657714844,10012,10000,0.25,0.5
5,0.25,168,2,0.02001333236694336,10024,10000,0.25,0.5
5,0.5,25,1,0.020689010620117188,10041,10000,0.25,0.5
5,0.75,18,2,0.021401405334472656,10057,10000,0.25,0.5
6,0.125,78,2,0.022005558013916016,10012,10000,0.25,0.5
6,0.25,74,2,0.019983768463134766,10021,10000,0.25,0.5
6,0.5,178,2,0.020668745040893555,10045,10000,0.25,0.5
6,0.75,253,4,0.020627498626708984,10109,10000,0.25,0.5
7,0.125,129,3,0.023118019104003906,10029,10000,0.25,0.5
7,0.25,143,3,0.019898653030395508,10038,10000,0.25,0.5
7,0.5,430,6,0.02086615562438965,10102,10000,0.25,0.5
7,0.75,122,4,0.02048802375793457,10197,10000,0.25,0.5
8,0.125,286,4,0.024916410446166992,10062,10000,0.25,0.5
8,0.25,249,5,0.020006656646728516,10045,10000,0.25,0.5
8,0.5,190,4,0.019726276397705078,10123,10000,0.25,0.5
8,0.75,214,4,0.02072739601135254,10146,10000,0.25,0.5
9,0.125,156,4,0.020351886749267578,10081,10000,0.25,0.5
9,0.25,259,6,0.019866943359375,10072,10000,0.25,0.5
9,0.5,279,5,0.020641803741455078,10120,10000,0.25,0.5
9,0.75,243,8,0.020117759704589844,10365,10000,0.25,0.5
10,0.125,222,5,0.020267248153686523,10075,10000,0.25,0.5
10,0.25,167,5,0.019843578338623047,10087,10000,0.25,0.5
10,0.5,358,8,0.019855737686157227,10250,10000,0.25,0.5
10,0.75,373,8,0.020134687423706055,10383,10000,0.25,0.5
11,0.125,221,5,0.019715070724487305,10119,10000,0.25,0.5
11,0.25,515,8,0.019660472869873047,10169,10000,0.25,0.5
11,0.5,322,5,0.019385337829589844,10221,10000,0.25,0.5
11,0.75,311,6,0.019608020782470703,10330,10000,0.25,0.5
12,0.125,271,7,0.01978302001953125,10131,10000,0.25,0.5
12,0.25,402,8,0.02040886878967285,10220,10000,0.25,0.5
12,0.5,310,8,0.0199582576751709,10238,10000,0.25,0.5
12,0.75,504,8,0.021083354949951172,10650,10000,0.25,0.5
13,0.125,428,7,0.020071029663085938,10095,10000,0.25,0.5
13,0.25,369,8,0.021593093872070312,10196,10000,0.25,0.5
13,0.5,588,10,0.020080089569091797,10404,10000,0.25,0.5
13,0.75,592,10,0.020360469818115234,10742,10000,0.25,0.5
14,0.125,465,9,0.019865751266479492,10190,10000,0.25,0.5
14,0.25,371,9,0.020231008529663086,10217,10000,0.25,0.5
14,0.5,523,13,0.02041149139404297,10545,10000,0.25,0.5
14,0.75,570,15,0.021031618118286133,10799,10000,0.25,0.5
15,0.125,265,8,0.020442485809326172,10244,10000,0.25,0.5
15,0.25,615,12,0.020207881927490234,10231,10000,0.25,0.5
15,0.5,820,13,0.02056145668029785,10567,10000,0.25,0.5
15,0.75,532,14,0.021320581436157227,10980,10000,0.25,0.5
16,0.125,624,14,0.020730018615722656,10155,10000,0.25,0.5
16,0.25,828,14,0.02052474021911621,10298,10000,0.25,0.5
16,0.5,496,10,0.019995689392089844,10614,10000,0.25,0.5
16,0.75,654,13,0.021435022354125977,11111,10000,0.25,0.5
17,0.125,572,11,0.02060675621032715,10300,10000,0.25,0.5
17,0.25,715,12,0.020472288131713867,10327,10000,0.25,0.5
17,0.5,708,13,0.020939111709594727,10728,10000,0.25,0.5
17,0.75,695,14,0.021098852157592773,11616,10000,0.25,0.5
18,0.125,554,9,0.020113468170166016,10133,10000,0.25,0.5
18,0.25,833,14,0.02047276496887207,10436,10000,0.25,0.5
18,0.5,611,12,0.020409822463989258,10669,10000,0.25,0.5
18,0.75,977,19,0.02168726921081543,12297,10000,0.25,0.5
19,0.125,397,12,0.020192384719848633,10410,10000,0.25,0.5
19,0.25,875,16,0.02007150650024414,10454,10000,0.25,0.5
19,0.5,647,14,0.020328521728515625,10830,10000,0.25,0.5
19,0.75,1114,18,0.021602869033813477,12050,10000,0.25,0.5
20,0.125,674,14,0.02052903175354004,10306,10000,0.25,0.5
20,0.25,667,15,0.020205020904541016,10387,10000,0.25,0.5
20,0.5,689,15,0.020153284072875977,10845,10000,0.25,0.5
20,0.75,1037,18,0.022150754928588867,12276,10000,0.25,0.5
21,0.125,970,18,0.020465850830078125,10247,10000,0.25,0.5
