vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,greedy_configurations
4,0.125,66,1,0.0007627010345458984,3,1
4,0.25,52,2,0.0011792182922363281,6,2
4,0.5,168,2,0.0012903213500976562,10,2
4,0.75,90,2,0.001438140869140625,15,2
5,0.125,150,2,0.001201629638671875,6,2
5,0.25,168,2,0.0012526512145996094,8,2
5,0.5,95,2,0.0013432502746582031,14,4
5,0.75,15,2,0.001628875732421875,21,3
6,0.125,78,2,0.0010182857513427734,6,2
6,0.25,53,3,0.0013206005096435547,12,3
6,0.5,41,2,0.0013380050659179688,20,2
6,0.75,46,2,0.0016224384307861328,29,5
7,0.125,129,3,0.001379251480102539,9,3
7,0.25,69,2,0.0011801719665527344,14,3
7,0.5,207,4,0.002259492874145508,37,7
7,0.75,32,4,0.0023276805877685547,52,4
8,0.125,286,4,0.0015265941619873047,12,4
8,0.25,108,4,0.0018208026885986328,25,4
8,0.5,67,3,0.0020678043365478516,40,4
8,0.75,64,4,0.0028505325317382812,63,5
