vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,randomized_heuristic_configurations
4,0.125,66,1,0.2581796646118164,5001,1000
4,0.25,52,2,0.5001993179321289,10001,1000
4,0.5,168,2,0.5513401031494141,15001,1000
4,0.75,90,2,0.6869316101074219,22001,1000
5,0.125,150,2,0.5078787803649902,10001,1000
5,0.25,168,2,0.5486280918121338,13001,1000
5,0.5,25,1,0.5516259670257568,19034,1000
5,0.75,15,2,0.8938086032867432,34509,1000
6,0.125,78,2,0.4983057975769043,10001,1000
6,0.25,53,3,0.7872786521911621,19001,1000
6,0.5,41,2,0.7742862701416016,30001,1000
6,0.75,46,2,0.9457716941833496,43001,1000
7,0.125,129,3,0.7852952480316162,15001,1000
7,0.25,69,2,0.6612305641174316,22001,1000
7,0.5,207,4,1.5041086673736572,52001,1000
7,0.75,32,4,1.6826117038726807,72001,1000
8,0.125,286,4,1.0304057598114014,20001,1000
8,0.25,108,4,1.2666430473327637,36001,1000
8,0.5,67,3,1.4439544677734375,57001,1000
8,0.75,64,4,2.1778640747070312,88001,1000
9,0.125,151,4,1.0648224353790283,23001,1000
9,0.25,91,4,1.3408687114715576,40001,1000
9,0.5,162,5,2.434755802154541,81001,1000
9,0.75,70,5,2.9863622188568115,121001,1000
10,0.125,123,4,1.1256382465362549,26001,1000
10,0.25,110,5,1.8655004501342773,56001,1000
10,0.5,81,5,2.7403404712677,97001,1000
10,0.75,89,6,3.6735129356384277,158573,1000
11,0.125,220,6,1.7823951244354248,39001,1000
11,0.25,405,7,2.8974955081939697,77001,1000
11,0.5,90,5,3.1980161666870117,113001,1000
11,0.75,120,6,4.920453310012817,183001,1000
12,0.125,172,5,1.6425375938415527,38001,1000
12,0.25,281,7,2.8659145832061768,91001,1000
12,0.5,77,6,3.6957757472991943,142001,1000
12,0.75,229,8,6.107212543487549,243001,1000
13,0.125,261,7,1.975804090499878,52001,1000
13,0.25,202,6,2.2745604515075684,89001,1000
13,0.5,237,8,5.592661619186401,184001,1000
13,0.75,118,7,6.6637609004974365,259741,1000
14,0.125,313,8,2.7623589038848877,65001,1000
14,0.25,241,9,3.7113115787506104,121001,1000
14,0.5,112,8,6.213954210281372,214524,1000
14,0.75,62,8,6.005228281021118,317976,1000
15,0.125,210,8,2.691452741622925,72001,1000
15,0.25,237,8,4.611426591873169,129021,1000
15,0.5,154,9,7.196964979171753,247001,1000
15,0.75,114,8,10.393280029296875,350795,1000
16,0.125,274,8,2.9083893299102783,74001,1000
16,0.25,169,7,2.9740140438079834,125001,1000
16,0.5,87,9,7.099130868911743,281001,1000
16,0.75,67,9,8.6669282913208,409073,1000
17,0.125,300,9,3.9457151889801025,82001,1000
17,0.25,197,9,4.684326887130737,160001,1000
17,0.5,64,7,5.995067119598389,261001,1000
17,0.75,115,10,10.450346946716309,457001,1000
18,0.125,466,11,3.7541582584381104,105001,1000
18,0.25,251,9,5.135293245315552,181001,1000
18,0.5,70,10,6.7981650829315186,355516,1000
18,0.75,85,10,10.155842065811157,503001,1000
19,0.125,235,8,3.29665470123291,91001,1000
19,0.25,228,9,6.05749249458313,187973,1000
19,0.5,137,12,10.909767866134644,410001,1000
19,0.75,53,10,14.3890700340271,561934,1000
20,0.125,330,9,4.123080492019653,104001,1000
20,0.25,154,11,5.786868572235107,221001,1000
20,0.5,98,11,8.18391466140747,424721,1000
20,0.75,134,12,15.266342639923096,663189,1000
21,0.125,307,10,3.5282788276672363,117001,1000
21,0.25,193,10,7.006287097930908,225504,1000
21,0.5,164,12,18.46259307861328,468001,1000
21,0.75,238,14,25.661839485168457,769131,1000
22,0.125,353,11,5.1969804763793945,134001,1000
22,0.25,178,11,8.076714992523193,246001,1000
22,0.5,133,14,19.189962148666382,586951,1000
22,0.75,48,12,20.69297695159912,765945,1000
23,0.125,271,13,5.681440591812134,156001,1000
23,0.25,364,13,10.540553092956543,287001,1000
23,0.5,286,14,23.433266401290894,588545,1000
23,0.75,177,15,35.97033333778381,905516,1000
24,0.125,243,13,5.321697235107422,163001,1000
24,0.25,263,14,11.811281204223633,313011,1000
24,0.5,203,14,13.774385690689087,613001,1000
24,0.75,110,12,35.219120502471924,885334,1000
25,0.125,444,13,9.39919114112854,177001,1000
25,0.25,495,18,17.991154193878174,403277,1000
25,0.5,211,16,27.511382341384888,694001,1000
25,0.75,137,14,40.15171790122986,1002311,1000
26,0.125,358,11,6.2286717891693115,171001,1000
26,0.25,177,13,11.330230236053467,348001,1000
26,0.5,199,16,28.91926860809326,756294,1000
26,0.75,172,16,41.053062200546265,1106001,1000
27,0.125,307,14,6.896636009216309,199001,1000
27,0.25,312,16,13.610309600830078,411001,1000
27,0.5,152,14,22.680994749069214,782379,1000
27,0.75,72,16,37.43244457244873,1177870,1000
28,0.125,212,13,7.197552680969238,209001,1000
28,0.25,367,16,16.329174280166626,434001,1000
28,0.5,341,20,45.64831471443176,962001,1000
28,0.75,85,17,41.164918661117554,1314178,1000
29,0.125,578,15,8.920091152191162,226001,1000
29,0.25,321,15,17.80059266090393,432001,1000
29,0.5,143,17,24.534594535827637,910489,1000
29,0.75,59,18,25.784444570541382,1432155,1000
30,0.125,404,17,9.554828882217407,255001,1000
30,0.25,296,20,12.366693496704102,542052,1000
30,0.5,104,15,28.15067195892334,945094,1000
30,0.75,112,19,63.090142250061035,1553746,1000
